天津卫视HD,rtp://225.1.1.111:5002
天津新闻HD,rtp://225.1.1.130:5002
天津文艺HD,rtp://225.1.1.131:5002
天津影视HD,rtp://225.1.1.149:5002
天津都市HD,rtp://225.1.1.128:5002
天津体育HD,rtp://225.1.1.122:5002
天津教育HD,rtp://225.1.1.129:5002
天津购物HD,rtp://225.1.1.151:5002
CCTV-1综合HD,rtp://225.1.1.120:5002
CCTV-2财经HD,rtp://225.1.1.133:5002
CCTV-3综艺HD,rtp://225.1.1.158:5002
CCTV-4中文国际HD,rtp://225.1.1.150:5002
CCTV-5体育HD,rtp://225.1.1.160:5002
CCTV-5+体育赛事HD,rtp://225.1.1.121:5002
CCTV-6电影HD,rtp://225.1.1.195:5002
CCTV-7军事农业HD,rtp://225.1.1.138:5002
CCTV-8电视剧HD,rtp://225.1.1.196:5002
CCTV-9纪录HD,rtp://225.1.1.119:5002
CCTV-10科教HD,rtp://225.1.1.140:5002
CCTV-11戏曲HD,rtp://225.1.2.192:5002
CCTV-12社会与法HD,rtp://225.1.1.142:5002
CCTV-13新闻HD,rtp://225.1.2.193:5002
CCTV-14少儿HD,rtp://225.1.1.144:5002
CCTV-15音乐HD,rtp://225.1.2.194:5002
CCTV-16奥林匹克HD,rtp://225.1.2.237:5002
CCTV-17农业农村HD,rtp://225.1.2.52:5002
三沙卫视HD,rtp://225.1.1.182:5002
浙江卫视HD,rtp://225.1.1.112:5002
北京卫视HD,rtp://225.1.1.113:5002
湖南卫视HD,rtp://225.1.1.114:5002
黑龙江卫视HD,rtp://225.1.1.115:5002
广东卫视HD,rtp://225.1.1.116:5002
深圳卫视HD,rtp://225.1.1.117:5002
四川卫视HD,rtp://225.1.1.123:5002
江苏卫视HD,rtp://225.1.1.126:5002
安徽卫视HD,rtp://225.1.1.127:5002
湖北卫视HD,rtp://225.1.1.147:5002
辽宁卫视HD,rtp://225.1.1.154:5002
重庆卫视HD,rtp://225.1.1.155:5002
吉林卫视HD,rtp://225.1.2.26:5002
河北卫视HD,rtp://225.1.2.27:5002
贵州卫视HD,rtp://225.1.2.28:5002
江西卫视HD,rtp://225.1.2.29:5002
东方卫视HD,rtp://225.1.2.31:5002
河南卫视HD,rtp://225.1.2.61:5002
广西卫视HD,rtp://225.1.2.81:5002
海南卫视HD,rtp://225.1.2.82:5002
CCTV-兵器科技HD,rtp://225.1.2.166:5002
CCTV-电视指南HD,rtp://225.1.2.167:5002
CCTV-风云足球HD,rtp://225.1.2.168:5002
CCTV-高尔夫.网球HD,rtp://225.1.2.169:5002
CCTV-央视台球HD,rtp://225.1.2.170:5002
CCTV-世界地理HD,rtp://225.1.2.171:5002
CCTV-女性时尚HD,rtp://225.1.2.172:5002
CCTV-怀旧剧场HD,rtp://225.1.2.173:5002
CCTV-风云剧场HD,rtp://225.1.2.174:5002
CCTV-第一剧场HD,rtp://225.1.2.175:5002
CCTV-风云音乐HD,rtp://225.1.2.176:5002
CCTV-央视文化精品HD,rtp://225.1.2.177:5002
快乐垂钓HD,rtp://225.1.2.18:5002
茶频道,rtp://225.1.2.19:5002
纪实人文HD,rtp://225.1.2.25:5002
足球频道,rtp://225.1.2.83:5002
金鹰纪实HD,rtp://225.1.1.124:5002
早期教育,rtp://225.1.2.207:5002
游戏风云HD,rtp://225.1.1.135:5002
经典重温,rtp://225.1.2.122:5002
精彩影视HD,rtp://225.1.1.141:5002
生活时尚HD,rtp://225.1.1.143:5002
全纪实HD,rtp://225.1.1.145:5002
都市剧场HD,rtp://225.1.1.146:5002
金色频道HD,rtp://225.1.1.236:5002
法治天地HD,rtp://225.1.1.237:5002
动漫秀场HD,rtp://225.1.1.134:5002
CHC家庭影院HD,rtp://225.1.1.213:5002
CHC高清电影HD,rtp://225.1.1.214:5002
CHC动作电影HD,rtp://225.1.1.215:5002
经典老片场,rtp://225.1.2.123:5002
4K私享家,rtp://225.1.1.156:5002
4K,rtp://225.1.2.190:5002
欢笑剧场4K,rtp://225.1.1.152:5002
